,Text,Cluster,top_words,representative_term,top_words_BERT
716,"although forces suffered amount dead wounded , 4,000-5,000 , communists able capture 31,000 yan 's troops , surrendered fell ambushes .",22,"yan, shanxi, japanese, china, forces",yan,"yan founded, yan succeeded, yan determination, taiyuan nationalist, shanxi yan, modernize yan, regimes yan, dynasty yan, developed yan, 1945 yan"
717,shangdang campaign ended communists firm control southern shanxi .,22,"yan, shanxi, japanese, china, forces",yan,"yan founded, yan succeeded, yan determination, taiyuan nationalist, shanxi yan, modernize yan, regimes yan, dynasty yan, developed yan, 1945 yan"
718,"1946 communist forces northwest china identified capture yan 's capital taiyuan one main objectives , throughout 1946 1947 yan constantly involved efforts defend north retake south .",22,"yan, shanxi, japanese, china, forces",yan,"yan founded, yan succeeded, yan determination, taiyuan nationalist, shanxi yan, modernize yan, regimes yan, dynasty yan, developed yan, 1945 yan"
719,"1948 , yan 's forces suffered succession serious military defeats pla , losing control southern central shanxi , surrounded sides territory controlled communists .",22,"yan, shanxi, japanese, china, forces",yan,"yan founded, yan succeeded, yan determination, taiyuan nationalist, shanxi yan, modernize yan, regimes yan, dynasty yan, developed yan, 1945 yan"
720,"overcome defenses , communist commander xu xiangqian developed strategy engaging positions outskirts taiyuan besieging city .",22,"yan, shanxi, japanese, china, forces",yan,"yan founded, yan succeeded, yan determination, taiyuan nationalist, shanxi yan, modernize yan, regimes yan, dynasty yan, developed yan, 1945 yan"
721,"november 13 , 1948 , communists succeeded taking area around eastern side taiyuan .",22,"yan, shanxi, japanese, china, forces",yan,"yan founded, yan succeeded, yan determination, taiyuan nationalist, shanxi yan, modernize yan, regimes yan, dynasty yan, developed yan, 1945 yan"
722,"november , 1948 , april , 1949 , stalemate reached little advancement either side .",22,"yan, shanxi, japanese, china, forces",yan,"yan founded, yan succeeded, yan determination, taiyuan nationalist, shanxi yan, modernize yan, regimes yan, dynasty yan, developed yan, 1945 yan"
723,"major pla victories hebei late january , 1949 , communist armies shanxi reinforced additional troops artillery .",22,"yan, shanxi, japanese, china, forces",yan,"yan founded, yan succeeded, yan determination, taiyuan nationalist, shanxi yan, modernize yan, regimes yan, dynasty yan, developed yan, 1945 yan"
724,yan xishan ( along provincial treasury ) airlifted taiyuan march 1949 express purpose asking central government supplies .,22,"yan, shanxi, japanese, china, forces",yan,"yan founded, yan succeeded, yan determination, taiyuan nationalist, shanxi yan, modernize yan, regimes yan, dynasty yan, developed yan, 1945 yan"
725,"shortly yan airlifted taiyuan , nationalist planes stopped dropping food supplies defenders due fears shot advancing communists .",22,"yan, shanxi, japanese, china, forces",yan,"yan founded, yan succeeded, yan determination, taiyuan nationalist, shanxi yan, modernize yan, regimes yan, dynasty yan, developed yan, 1945 yan"
726,"fall taiyuan one examples chinese civil war nationalist forces echoed defeated ming loyalists , 17th century , brought entire cities ruins resisting invading manchus .",22,"yan, shanxi, japanese, china, forces",yan,"yan founded, yan succeeded, yan determination, taiyuan nationalist, shanxi yan, modernize yan, regimes yan, dynasty yan, developed yan, 1945 yan"
727,"march 1949 yan flew capital nanjing purpose asking central government food ammunition , taking provincial treasury , return taiyuan fell communist forces .",22,"yan, shanxi, japanese, china, forces",yan,"yan founded, yan succeeded, yan determination, taiyuan nationalist, shanxi yan, modernize yan, regimes yan, dynasty yan, developed yan, 1945 yan"
728,yan focused efforts attempting promote greater cooperation li chiang .,22,"yan, shanxi, japanese, china, forces",yan,"yan founded, yan succeeded, yan determination, taiyuan nationalist, shanxi yan, modernize yan, regimes yan, dynasty yan, developed yan, 1945 yan"
729,late 1949 nationalist 's position become desperate .,22,"yan, shanxi, japanese, china, forces",yan,"yan founded, yan succeeded, yan determination, taiyuan nationalist, shanxi yan, modernize yan, regimes yan, dynasty yan, developed yan, 1945 yan"
730,yan 's final years filled disappointment sadness .,22,"yan, shanxi, japanese, china, forces",yan,"yan founded, yan succeeded, yan determination, taiyuan nationalist, shanxi yan, modernize yan, regimes yan, dynasty yan, developed yan, 1945 yan"
731,"yan deserted handful followers , spent remaining years writing books philosophy , history , contemporary events , frequently translated english .",22,"yan, shanxi, japanese, china, forces",yan,"yan founded, yan succeeded, yan determination, taiyuan nationalist, shanxi yan, modernize yan, regimes yan, dynasty yan, developed yan, 1945 yan"
732,"yan died taiwan may 24 , 1960 .",22,"yan, shanxi, japanese, china, forces",yan,"yan founded, yan succeeded, yan determination, taiyuan nationalist, shanxi yan, modernize yan, regimes yan, dynasty yan, developed yan, 1945 yan"
733,"1911 yan hoped join forces another prominent shanxi revolutionary , wu luzhen , order undermine yuan shikai 's control north china , plans aborted wu assassinated .",22,"yan, shanxi, japanese, china, forces",yan,"yan founded, yan succeeded, yan determination, taiyuan nationalist, shanxi yan, modernize yan, regimes yan, dynasty yan, developed yan, 1945 yan"
734,determination shanxi resist manchu rule factor leading yuan believe abolition qing dynasty could bring peace china end civil war .,22,"yan, shanxi, japanese, china, forces",yan,"yan founded, yan succeeded, yan determination, taiyuan nationalist, shanxi yan, modernize yan, regimes yan, dynasty yan, developed yan, 1945 yan"
735,"1911 , shanxi one poorest provinces china .",22,"yan, shanxi, japanese, china, forces",yan,"yan founded, yan succeeded, yan determination, taiyuan nationalist, shanxi yan, modernize yan, regimes yan, dynasty yan, developed yan, 1945 yan"
736,"yan 's determination modernize shanxi mostly inspired experiences japan , also experiences foreign doctors personnel arrived shanxi 1918 order help yan suppress epidemic ravaging province .",22,"yan, shanxi, japanese, china, forces",yan,"yan founded, yan succeeded, yan determination, taiyuan nationalist, shanxi yan, modernize yan, regimes yan, dynasty yan, developed yan, 1945 yan"
737,"order maintain shanxi 's neutrality free serious military confrontations rival warlords , yan developed strategy shifting alliances various warring cliques , inevitably joining winning sides .",22,"yan, shanxi, japanese, china, forces",yan,"yan founded, yan succeeded, yan determination, taiyuan nationalist, shanxi yan, modernize yan, regimes yan, dynasty yan, developed yan, 1945 yan"
738,"yan 's alliance chiang interrupted next year , 1929 , yan joined chiang 's enemies establish alternative national government northern china .",22,"yan, shanxi, japanese, china, forces",yan,"yan founded, yan succeeded, yan determination, taiyuan nationalist, shanxi yan, modernize yan, regimes yan, dynasty yan, developed yan, 1945 yan"
739,"events 1927 1931 best explained strategies warlords accustomed constantly shifting , chaotic alliances characterized chinese politics since breakdown central government decade earlier .",22,"yan, shanxi, japanese, china, forces",yan,"yan founded, yan succeeded, yan determination, taiyuan nationalist, shanxi yan, modernize yan, regimes yan, dynasty yan, developed yan, 1945 yan"
740,yan able return shanxi complex effort intrigue politicking .,22,"yan, shanxi, japanese, china, forces",yan,"yan founded, yan succeeded, yan determination, taiyuan nationalist, shanxi yan, modernize yan, regimes yan, dynasty yan, developed yan, 1945 yan"
741,yan remained background shanxi politics nanjing government 's failure resist japanese takeover manchuria mukden incident gave yan followers opportunity informally overthrow kuomintang shanxi .,22,"yan, shanxi, japanese, china, forces",yan,"yan founded, yan succeeded, yan determination, taiyuan nationalist, shanxi yan, modernize yan, regimes yan, dynasty yan, developed yan, 1945 yan"
742,"1931 , yan continued give nominal support nanjing government maintaining de facto control shanxi , alternatively cooperating conflicting communist agents active province .",22,"yan, shanxi, japanese, china, forces",yan,"yan founded, yan succeeded, yan determination, taiyuan nationalist, shanxi yan, modernize yan, regimes yan, dynasty yan, developed yan, 1945 yan"
743,financial relationship shanxi central government remained complicated .,22,"yan, shanxi, japanese, china, forces",yan,"yan founded, yan succeeded, yan determination, taiyuan nationalist, shanxi yan, modernize yan, regimes yan, dynasty yan, developed yan, 1945 yan"
744,"northern southern parts state hilly , central part fertile plain .",20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
745,north lies edge great indo-gangetic plain .,96,"district, meghalaya, state, khasi, chhattisgarh",district,"chhattisgarh rajya, chhattisgarh ancient, chhattisgarh government, chhattisgarh tonhi, origin chhattisgarh, chhattisgarh, chhattisgarhi, practices chhattisgarh, enacted chhattisgarh, chhattisgarhi languages"
746,central part state lies fertile upper basin mahanadi river tributaries .,20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
747,"amrit dhara water fall , koriya natural waterfall originates hasdo river .",61,"kathmandu, nepal, city, museum, art",kathman,"river kathmandu, flows kathmandu, kathmandu valley, valley kathmandu, kathmandu regulated, kathmandu known, history kathmandu, kathmandu primary, started kathmandu, central kathmandu"
748,climate chhattisgarh tropical .,20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
749,temperature varies summer winter .,74,"average, climate, summer, winter, rainfall",average,"winter moscow, average moscow, moscow cold, temperatures summer, summer temperatures, kharkiv climate, climate köppen, temperatures warm, warm summers, köppen climate"
750,chhattisgarh primarily rural state 20 % population ( around 5.1 million people 2011 ) residing urban areas .,20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
751,"according 2011 census , 93.25 % chhattisgarh 's population practiced hinduism , 2 % followed islam , 1 % followed christianity smaller number followed buddhism , sikhism , jainism religions .",20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
752,"order bring social reforms view discourage undesirable social practices , chhattisgarh government enacted chhattisgarh tonhi atyachar ( niwaran ) act , 2005 witchery .",96,"district, meghalaya, state, khasi, chhattisgarh",district,"chhattisgarh rajya, chhattisgarh ancient, chhattisgarh government, chhattisgarh tonhi, origin chhattisgarh, chhattisgarh, chhattisgarhi, practices chhattisgarh, enacted chhattisgarh, chhattisgarhi languages"
753,sections tribal population chhattisgarh state believe witchcraft .,20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
754,"2010 , still hounded villages basis flimsy accusations male village sorcerers paid villagers personal agendas , property goods acquisition .",128,"stafford, english, town, john, england",stafford,"medieval southampton, lambton lord, english landowner, peerage england, parliament viking, settlement medieval, shire hall, lord durham, town parliament, john lambton"
755,"according human rights organization , release international several christians chhattisgarh attacked killed hindu nationalists .",115,"government, mugabe, police, opposition, minister",mugabe,"force zimbabwe, african leader, mugabe government, minister kwame, leaders africa, african leaders, mugabe removal, nigeria disarmed, minister mugabe, opposition mugabe"
756,official language state hindi used non-rural population state .,20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
757,"addition chhattisgarhi , several languages spoken tribal people bastar region , geographically equivalent former bastar state , like halbi , gondi bhatri .",96,"district, meghalaya, state, khasi, chhattisgarh",district,"chhattisgarh rajya, chhattisgarh ancient, chhattisgarh government, chhattisgarh tonhi, origin chhattisgarh, chhattisgarh, chhattisgarhi, practices chhattisgarh, enacted chhattisgarh, chhattisgarhi languages"
758,chhattisgarh high female-male sex ratio ( 991 ) ranking 5th position among states india .,20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
759,gender ratio ( number females per 1000 males ) steadily declining 20th century chhattisgarh .,20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
760,"rural women , although poor , independent , better organized , socially outspoken .",114,"agriculture, also, rural, state, land",rural,"chhattisgarh government, chhattisgarh, presently chhattisgarh, chhattisgarh 187, railways expansion, railways, ministry railways, density chhattisgarh, expansion railway, industrialized country"
761,"detailed information aspects women 's status chhattisgarh found 'a situational analysis women girls chhattisgarh ' prepared 2004 national commission women , statutory body belonging government india .",20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
762,"chhattisgarh 's gross state domestic product 2010 estimated inr 60,079 crore current prices .",20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
763,chhattisgarh state ranked 17th largest tea production state india .,20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
764,agriculture counted chief economic occupation state .,114,"agriculture, also, rural, state, land",rural,"chhattisgarh government, chhattisgarh, presently chhattisgarh, chhattisgarh 187, railways expansion, railways, ministry railways, density chhattisgarh, expansion railway, industrialized country"
765,"majority farmers still practicing traditional methods cultivation , resulting low growth rates productivity .",114,"agriculture, also, rural, state, land",rural,"chhattisgarh government, chhattisgarh, presently chhattisgarh, chhattisgarh 187, railways expansion, railways, ministry railways, density chhattisgarh, expansion railway, industrialized country"
766,"considering limited irrigated area , productivity rice also crops low , hence farmers unable obtain economic benefits agriculture remained subsistence agriculture till .",114,"agriculture, also, rural, state, land",rural,"chhattisgarh government, chhattisgarh, presently chhattisgarh, chhattisgarh 187, railways expansion, railways, ministry railways, density chhattisgarh, expansion railway, industrialized country"
767,"main crops rice , maize , kodo-kutki small millets pulses ( tuar kulthi ) ; oilseeds , groundnuts ( peanuts ) , soybeans sunflowers , also grown .",20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
768,"chhattisgarh , rice , main crop , grown 77 % net sown area .",20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
769,"chhattisgarh region 22 % net cropped area irrigation compared 36.5 % madhya pradesh 1998-99 , whereas average national irrigation 40 % .",20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
770,"chhattisgarh limited irrigation system , dams canals rivers .",20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
771,"total four major , 33 medium 2199 minor irrigation projects completed five major , 9 medium 312 minor projects construction , 31 march 2006 .",114,"agriculture, also, rural, state, land",rural,"chhattisgarh government, chhattisgarh, presently chhattisgarh, chhattisgarh 187, railways expansion, railways, ministry railways, density chhattisgarh, expansion railway, industrialized country"
772,chhattisgarh one states india power sector effectively developed .,20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
773,"state potential 61,000 mw additional thermal power terms availability coal 100 years 2,500 mw hydel capacity .",124,"oil, sands, alberta, bitumen, mine",oil,"oil athabasca, sands industry, sands fuel, sands production, sands development, oil sands, athabasca oil, sands operations, athabasca deposit, sands required"
774,steel industry one biggest heavy industries chhattisgarh .,20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
775,"aluminium industry chhattisgarh established bharat aluminium company limited , capacity around one million tonnes year .",20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
776,"forests occupy 41.33 % total area ( per latest report indian forest service ) rich forest resources include wood , tendu leaves , honey lac .",20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
777,chhattisgarh rich minerals .,20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
778,"recent years , chhattisgarh also getting exposure information technology ( ) projects consultancy .",20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
779,chhattisgarh 's total exports us $ 353.3 million 2009-10 .,20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
780,"according census 2011 , chhattisgarh 's literacy , basic indicator education 71.04 percent .",20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
781,"data census india , 2011 .",20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
782,"bastar vishwavidyalaya , one new universities erected time surguja university .",62,"university, campus, riddle, embry, students",university,"university tulsa, college tulsa, osu tulsa, tulsa osu, oklahoma university, tulsa tech, university oklahoma, tech tulsa, tulsa nsu, college oklahoma"
783,number premier professional institutes state chhattisgarh .,20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
784,guru ghasidas vishwavidyalaya central university chhattisgarh state .,20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
785,"2011 chhattisgarh state human development index value 0.358 , lowest indian state .",20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
786,"chhattisgarh one lowest standard living india per income index ( 0.127 ) along states assam , bihar , jharkhand , madhya pradesh , odisha rajasthan .",20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
787,"despite ratings rankings , consider raipur , capital chhattisgarh one developing cities india .",20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
788,"chhattisgarh education index 0.526 according 2011 nhdr higher states bihar , jharkhand , uttar pradesh , rajasthan , although lower national average 0.563 .",20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
789,"respect literacy , state fared national average .",20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
790,"according nss ( 2007-08 ) , literacy rate scheduled tribes ( sts ) scheduled castes ( scs ) better corresponding national average .",20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
791,"among marginalized groups , sts bottom rankings , emphasizing lack social development state .",20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
792,"health index chhattisgarh less 0.49 , one lowest country .",20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
793,"despite different health related schemes programmes , health indicators percentage women bmi < 18.5 ,",20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
794,chhattisgarh one emerging states relatively high growth rates nsdp ( 8.2 % vs. 7.1 % india 2002-2008 ) per capita nsdp ( 6.2 % vs. 5.4 % india 2002-2008 ) .,20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
795,demographic profile shows 80 per cent total population lived rural areas .,57,"city, population, census, age, people",population,"proportion households, city population, 2000s population, households 30, families population, 141 households, population density, population estimates, 2010 population, 957 households"
796,"13 million males 12.9 million females chhattisgarh , constitutes 2.11 % country 's population .",20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
797,chhattisgarh fairly high fertility rate ( 3.1 ) compared india ( 2.6 ) replacement rate ( 2.1 ) .,20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
798,"exception hilly states north-east , chhattisgarh one highest shares scheduled tribe ( st ) populations within state , accounting 10 per cent sts india .",20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
799,incidence poverty chhattisgarh high .,20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
800,half rural sts urban scs poor .,114,"agriculture, also, rural, state, land",rural,"chhattisgarh government, chhattisgarh, presently chhattisgarh, chhattisgarh 187, railways expansion, railways, ministry railways, density chhattisgarh, expansion railway, industrialized country"
801,"indicates good economic performance recent years percolated socially deprived group , reflected poor performance human development indicators .",114,"agriculture, also, rural, state, land",rural,"chhattisgarh government, chhattisgarh, presently chhattisgarh, chhattisgarh 187, railways expansion, railways, ministry railways, density chhattisgarh, expansion railway, industrialized country"
802,"terms access improved drinking water sources , aggregate level , chhattisgarh fared better national average scs state performed better corresponding national average .",20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
803,proportion households access improved sources drinking water 2008-9 91 % .,57,"city, population, census, age, people",population,"proportion households, city population, 2000s population, households 30, families population, 141 households, population density, population estimates, 2010 population, 957 households"
804,"sanitation facilities state abysmally low 27 per cent toilet facilities , far all-india average 44 % .",20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
805,"states low sanitation coverage 2001 improved coverage 4-10 % points [ chhattisgarh ] , odisha , bihar , jharkhand , madhya pradesh , rajasthan uttar pradesh .",20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
806,"across states , found teledensity ( telephone density ) 10 per cent 2010 chhattisgarh jharkhand , reflecting lack access telephones relatively poorer states .",20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
807,road length per 100 km2 less national average per 100 km2 chhattisgarh .,20,"chhattisgarh, meghalaya, state, india, one",chhatt,"chhattisgarh population, population chhattisgarh, chhattisgarh constitutes, chhattisgarh state, chhattisgarh total, chhattisgarh states, state chhattisgarh, chhattisgarh primarily, chhattisgarh detailed, chhattisgarh takes"
808,"several opinions origin name chhattisgarh , ancient times known dakshina kosala ( south kosala ) .",96,"district, meghalaya, state, khasi, chhattisgarh",district,"chhattisgarh rajya, chhattisgarh ancient, chhattisgarh government, chhattisgarh tonhi, origin chhattisgarh, chhattisgarh, chhattisgarhi, practices chhattisgarh, enacted chhattisgarh, chhattisgarhi languages"
